txtment,condition,length
hy5q,dark,15.633
hy5q,dark,15.501
hy5q,dark,15.956
hy5q,dark,14.817
hy5q,dark,16.578
hy5q,dark,14.766
hy5q,dark,13.94
hy5q,dark,15
hy5q,dark,17.976
hy5q,dark,11.61
cop1-6,light,1.209
cop1-6,light,1.508
cop1-6,light,1.01
cop1-6,light,1.217
cop1-6,light,1.107
cop1-6,light,2.968
cop1-6,light,1.741
cop1-6,light,2.056
cop1-6,light,1.179
cop1-6,light,1.21
WT,light,2.518
WT,light,1.488
WT,light,2.311
WT,light,2.541
WT,light,2.334
WT,light,2.647
WT,light,1.631
WT,light,1.366
WT,light,2.772
WT,light,2.113
hy5q,light,3.175
hy5q,light,2.52
hy5q,light,4.182
hy5q,light,2.07
hy5q,light,1.86
hy5q,light,3.054
hy5q,light,3.132
hy5q,light,3.1
hy5q,light,2.131
cop1-6,dark,2.489
cop1-6,dark,1.802
cop1-6,dark,2.272
cop1-6,dark,2.364
cop1-6,dark,1.777
cop1-6,dark,2.271
cop1-6,dark,2.566
cop1-6,dark,2.733
cop1-6,dark,2.224
cop1-6,dark,1.826
cop1-6,dark,2.499
WT,dark,15.039
WT,dark,17.609
WT,dark,14.233
WT,dark,15.24
WT,dark,12.132
WT,dark,15.138
WT,dark,13.99
WT,dark,15.334
WT,dark,16.001
WT,dark,14.034
